run_basename	scan_id	agreement_status	score_classification	spacer_interference_percent	pd_isolation_interference_percent	signed_difference_percent_points	absolute_difference_percent_points	pd_identified	pd_best_q_value	pd_raw_psm_count	competitor_count
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	61409	matched_finite	low_interference	0	84.64836	-84.64836	84.64836	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	101302	matched_finite	low_interference	0	84.59777	-84.59777	84.59777	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	82858	matched_finite	likely_chimeric	92.113140604	7.641025	84.472115604	84.472115604	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	74701	matched_finite	low_interference	0	84.358574	-84.358574	84.358574	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	104929	matched_finite	low_interference	0	84.263405	-84.263405	84.263405	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	31003	matched_finite	low_interference	13.5503615738	97.72715	-84.1767884262	84.1767884262	false		0	3
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	32959	matched_finite	low_interference	0	83.90921	-83.90921	83.90921	true	7.70198457758e-05	1	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	85118	matched_finite	likely_chimeric	93.56025228	9.6798115	83.88044078	83.88044078	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	84814	matched_finite	likely_chimeric	90.9723671332	7.3800206	83.5923465332	83.5923465332	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	94673	matched_finite	low_interference	0	83.55076	-83.55076	83.55076	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	57254	matched_finite	low_interference	0	83.47579	-83.47579	83.47579	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	28336	matched_finite	low_interference	0	83.08347	-83.08347	83.08347	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	69118	matched_finite	low_interference	0	82.999695	-82.999695	82.999695	true	7.70198457758e-05	1	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	47524	matched_finite	low_interference	0	82.97293	-82.97293	82.97293	true	0.000253779493505	1	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	43904	matched_finite	low_interference	0	82.96162	-82.96162	82.96162	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	52824	matched_finite	low_interference	0	82.89784	-82.89784	82.89784	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	92799	matched_finite	low_interference	0	82.71432	-82.71432	82.71432	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	36400	matched_finite	low_interference	10.7244942914	93.31711	-82.5926157086	82.5926157086	true	6.67898566462e-05	1	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	37418	matched_finite	low_interference	0	82.591095	-82.591095	82.591095	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	98940	matched_finite	low_interference	0	82.4369	-82.4369	82.4369	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	59517	matched_finite	likely_chimeric	93.4730175549	11.262319	82.2106985549	82.2106985549	false		0	2
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	61408	matched_finite	low_interference	0	82.056564	-82.056564	82.056564	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	36210	matched_finite	low_interference	0	82.045044	-82.045044	82.045044	false		0	0
